bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | 
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | 
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | Server is running on http://localhost:3015
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | own Id is 14
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | Connection error for port 3013: xhr poll error
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | Connection error for port 3016: xhr poll error
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_0 1735976929599
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_1 1735976929601
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_2 1735976929601
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_3 1735976929602
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_4 1735976929602
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_5 1735976929602
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_6 1735976929603
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_7 1735976929603
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_8 1735976929604
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_9 1735976929604
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_10 1735976929605
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_11 1735976929605
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_12 1735976929605
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_13 1735976929606
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_14 1735976929606
bft_bft_server3015.1.9pk6n7i284db@node13.bft.msc6801project.emulab.net    | command: 14_15 1735976929606
