bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | 
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | 
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Server is running on http://localhost:3017
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | own Id is 16
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3002: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3015: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3020: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | Connection error for port 3012: xhr poll error
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | command: 16_0 1735977873018
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | command: 16_1 1735977873019
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | command: 16_2 1735977873020
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | command: 16_3 1735977873020
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | command: 16_4 1735977873020
bft_bft_server3017.1.8gptkw2q92tv@node12.bft.msc6801project.emulab.net    | command: 16_5 1735977873021
