bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | 
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | 
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | Server is running on http://localhost:3020
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | own Id is 19
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_0 1735977873023
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_1 1735977873024
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_2 1735977873025
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_3 1735977873025
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_4 1735977873026
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_5 1735977873026
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_6 1735977873027
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_7 1735977873027
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_8 1735977873028
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_9 1735977873028
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_10 1735977873029
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_11 1735977873030
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_12 1735977873030
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_13 1735977873030
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_14 1735977873031
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_15 1735977873031
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_16 1735977873031
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_17 1735977873032
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_18 1735977873032
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_19 1735977873033
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_20 1735977873033
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_21 1735977873034
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_22 1735977873034
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_23 1735977873034
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_24 1735977873035
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_25 1735977873035
bft_bft_server3020.1.cor5qmupi0lc@node15.bft.msc6801project.emulab.net    | command: 19_26 1735977873035
