bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | 
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | > nodeimplementation@1.0.0 start
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | > ts-node src/index.ts
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | 
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | Server is running on http://localhost:3011
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | own Id is 10
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | All peer servers connected
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | All ids: 1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | All servers ready
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_0 1735968891321
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_1 1735968891323
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_2 1735968891323
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_3 1735968891324
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_4 1735968891324
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_5 1735968891325
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_6 1735968891325
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_7 1735968891326
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_8 1735968891326
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_9 1735968891327
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_10 1735968891328
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_11 1735968891328
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_12 1735968891329
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_13 1735968891329
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_14 1735968891330
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_15 1735968891330
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_16 1735968891331
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_17 1735968891331
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_18 1735968891332
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_19 1735968891332
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_20 1735968891332
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_21 1735968891333
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_22 1735968891333
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_23 1735968891333
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_24 1735968891333
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_25 1735968891334
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_26 1735968891334
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_27 1735968891334
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_28 1735968891335
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_29 1735968891335
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_30 1735968891335
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_31 1735968891335
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_32 1735968891336
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_33 1735968891336
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_34 1735968891336
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_35 1735968891336
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_36 1735968891336
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_37 1735968891337
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_38 1735968891337
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_39 1735968891337
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_40 1735968891337
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_41 1735968891338
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_42 1735968891338
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_43 1735968891338
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_44 1735968891338
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_45 1735968891339
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_46 1735968891339
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_47 1735968891339
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_48 1735968891339
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_49 1735968891339
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_50 1735968891340
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_51 1735968891340
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_52 1735968891340
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_53 1735968891341
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_54 1735968891341
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_55 1735968891341
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_56 1735968891342
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_57 1735968891342
bft_bft_server3011.1.yg4602we8nhs@node9.bft.msc6801project.emulab.net    | command: 10_58 1735968891342
